,urn,full_urn,posted_at,text,url,post_type,author,stats,document,pagination_token,media,reshared_post,article,comments,reposts,reshared_post_url,reshared_post_total_reactions,media_type,media_url,article_url,article_title
0,7340415388322586627,urn:li:ugcPost:7338633005688610817,"{'date': '2025-06-16 18:30:06', 'relative': '3 days ago • Visible to anyone on or off LinkedIn', 'timestamp': 1750091406899}","“There’s nothing more fun than saying yes.
But most of the job… is saying no.”
Rick Smith, Co-Founder of Crosscut Ventures

Let that sink in 👇

VC looks glamorous from the outside.

Raise a fund. Write checks. Build a portfolio of hot startups.

But according to Rick — that’s not the job.

The job is passing.

Sticking to your strike zone.

Saying no when everything in you wants to say yes.

In our latest episode of Demo Day, Rick broke down the 4 things every great deal needs:
✅ Market
✅ Product
✅ Team
✅ Valuation

Here’s the wild part…

Even if a company is GREAT —

if the entry price is wrong, the investment doesn’t work.

It’s possible to back a unicorn…

and still lose money.

That’s why Rick plays the long game.

And when he misses a winner?

He doesn’t second guess — as long as he followed his process.

🎧 Full episode is now live. 

📥 Link in the comments.

#VentureCapital #StartupInvesting #Fundraising #Founder #Investing #Investments #Podcast",https://www.linkedin.com/posts/sean-goldfaden_rick-smiths-tips-for-vc-success-activity-7340415388322586627-wkmA?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFv3Dr4BN8nSB5ZtHec3sqR14h9Sg79shsQ,regular,Sean Goldfaden,"{'total_reactions': 8, 'like': 8, 'support': 0, 'love': 0, 'insight': 0, 'celebrate': 0, 'comments': 1, 'reposts': 0}","{'title': ""Rick Smith's Tips for VC Success"", 'page_count': 10, 'url': 'https://media.licdn.com/dms/document/media/v2/D4E1FAQGzGZYPsxJ7Hw/feedshare-document-url-metadata-scrapper-pdf/B4EZdgPaZFHYA8-/0/1749666352938?e=1750968000&v=beta&t=BzoR-rX7slthWx3LVTFwYlrP9bNZ5EKWG0nv_9P9aMI', 'thumbnail': 'https://media.licdn.com/dms/image/v2/D4E1FAQGzGZYPsxJ7Hw/feedshare-document-cover-images_1920/B4EZdgPaZFHYA4-/0/1749666361821?e=1750968000&v=beta&t=cXFbgAyLubJECBwhVaZWUbuMuoQrl-Y23tW_3eSYHIc'}",dXJuOmxpOmFjdGl2aXR5OjY5OTc5NzQ4MTk2NjUyODUxMjAtMTY2ODQ0NzIxMzA3Mw==,,,,1,0,,,,,,
1,7339320686634573826,urn:li:ugcPost:7337992009300832256,"{'date': '2025-06-13 18:00:09', 'relative': '6 days ago • Visible to anyone on or off LinkedIn', 'timestamp': 1749830409678}","We showed up to hire students… 
and left with leads.
At Loyola Marymount University’s career expo, we had one goal:

→ Meet great talent.

But what we didn’t expect?

The real value wasn’t just in the students…

It was in the other tables:
- Recruiters
- Sales leaders
- Executives

All from companies we could actually help.

So we did what we always do:
- Talked to everyone
- Got the emails
- Shared what makes us different

No fancy booth.

No hard sell.

Just authentic connection.

Because whether it’s a job fair, a lunch meeting, or a yoga studio (yep, met someone from YogaWorks)...

→ It’s all a stage if you treat it like one.

If you want new business, new intros, new growth—

You can’t wait for the “right moment.”

You need to make the moment.

❤️

#founder #leadgen #marketing #b2bmarketing #entrepreneurship",https://www.linkedin.com/posts/sean-goldfaden_founder-leadgen-marketing-activity-7339320686634573826-VHsY?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFv3Dr4BN8nSB5ZtHec3sqR14h9Sg79shsQ,regular,Sean Goldfaden,"{'total_reactions': 2, 'like': 2, 'support': 0, 'love': 0, 'insight': 0, 'celebrate': 0, 'comments': 0, 'reposts': 0}",,dXJuOmxpOmFjdGl2aXR5OjY5OTc5NzQ4MTk2NjUyODUxMjAtMTY2ODQ0NzIxMzA3Mw==,"{'type': 'video', 'url': 'https://dms.licdn.com/playlist/vid/v2/D5605AQGRBc9Zmx7hDg/mp4-720p-30fp-crf28/B56ZdXI2jUGoBg-/0/1749513807561?e=1750968000&v=beta&t=FZ0fGbF87mo4kcG-wCM_8JvzzjY5swB1MAqBikoTWtc'}",,,0,0,,,video,https://dms.licdn.com/playlist/vid/v2/D5605AQGRBc9Zmx7hDg/mp4-720p-30fp-crf28/B56ZdXI2jUGoBg-/0/1749513807561?e=1750968000&v=beta&t=FZ0fGbF87mo4kcG-wCM_8JvzzjY5swB1MAqBikoTWtc,,
2,7338603440203304961,urn:li:ugcPost:7336534923861733376,"{'date': '2025-06-11 18:30:04', 'relative': '1 week ago • Visible to anyone on or off LinkedIn', 'timestamp': 1749659404803}","VCs pass on countless deals throughout their careers…
And inevitably, some of those passes become massive wins.
Here are the 3 questions Rick Smith asks himself when a pass wins big:

1. Did we even see the deal?
- If not, why not? Was it in our network? In our market? That’s a sourcing gap.

2. Was it in our strike zone?
- Right stage, right sector, right founder? If not, maybe it just wasn’t a fit.

3. Did we follow our process?
- If yes, then even a miss is a win. Because consistency > regret.

💡 The takeaway: Don’t obsess over what you didn’t do.

Obsess over having a repeatable process — and sticking to it.

🎥 Full Demo Day Podcast episode with Rick Smith (Co-Founder of Crosscut Ventures) in the comments!

#venturecapital #investor #investment #VC #startup #entrepreneur #founder",https://www.linkedin.com/posts/sean-goldfaden_venturecapital-investor-investment-activity-7338603440203304961-07Vf?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFv3Dr4BN8nSB5ZtHec3sqR14h9Sg79shsQ,regular,Sean Goldfaden,"{'total_reactions': 0, 'like': 0, 'support': 0, 'love': 0, 'insight': 0, 'celebrate': 0, 'comments': 1, 'reposts': 0}",,dXJuOmxpOmFjdGl2aXR5OjY5OTc5NzQ4MTk2NjUyODUxMjAtMTY2ODQ0NzIxMzA3Mw==,"{'type': 'video', 'url': 'https://dms.licdn.com/playlist/vid/v2/D5605AQErXAV3Hwri-Q/mp4-720p-30fp-crf28/B56ZdCbpCdHoBM-/0/1749166301834?e=1750968000&v=beta&t=aJzBUuA-f_avn2TPadoefaDdvnqGbrbAEAm_UObloHo'}",,,1,0,,,video,https://dms.licdn.com/playlist/vid/v2/D5605AQErXAV3Hwri-Q/mp4-720p-30fp-crf28/B56ZdCbpCdHoBM-/0/1749166301834?e=1750968000&v=beta&t=aJzBUuA-f_avn2TPadoefaDdvnqGbrbAEAm_UObloHo,,
3,7337878685523316736,urn:li:activity:7337878685523316736,"{'date': '2025-06-09 18:30:09', 'relative': '1 week ago • Visible to anyone on or off LinkedIn', 'timestamp': 1749486609822}","Ever thought about launching your own VC fund?
You need to hear what Rick Smith shared 👇🏻

In one of our most honest convos yet, Rick walks through the real challenges of being a first-time VC — and how to survive long enough to raise Fund II.

Highlights from the episode:
- How Crosscut Ventures almost didn’t make it
- Why Fund II is the hardest to raise (and what gets you there)
- The mindset shift that made Rick a better investor
- What most junior VCs get wrong about breaking into the industry
- Why “swinging bigger” is the only path forward

Whether you're raising a fund, building a startup, or dreaming of doing both — this episode is required listening.

→ Link in the comments!

#venturecapital #startup #founders #fundraising #investing #vcfund #investor",https://www.linkedin.com/posts/sean-goldfaden_venturecapital-startup-founders-activity-7337878685523316736-y6LZ?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFv3Dr4BN8nSB5ZtHec3sqR14h9Sg79shsQ,regular,Sean Goldfaden,"{'total_reactions': 20, 'like': 18, 'support': 0, 'love': 0, 'insight': 1, 'celebrate': 1, 'comments': 3, 'reposts': 1}",,dXJuOmxpOmFjdGl2aXR5OjY5OTc5NzQ4MTk2NjUyODUxMjAtMTY2ODQ0NzIxMzA3Mw==,"{'type': 'image', 'url': 'https://media.licdn.com/dms/image/v2/D5622AQFpwvP89T15fw/feedshare-shrink_2048_1536/B56ZdCWa.zHoAo-/0/1749164867478?e=1753315200&v=beta&t=L5_Uw4BZl8r-6isG1syH9-Bqxx7Zhzj3shTZMJJO5hI', 'images': [{'url': 'https://media.licdn.com/dms/image/v2/D5622AQFpwvP89T15fw/feedshare-shrink_2048_1536/B56ZdCWa.zHoAo-/0/1749164867478?e=1753315200&v=beta&t=L5_Uw4BZl8r-6isG1syH9-Bqxx7Zhzj3shTZMJJO5hI', 'width': 1535, 'height': 1536}]}",,,3,1,,,image,https://media.licdn.com/dms/image/v2/D5622AQFpwvP89T15fw/feedshare-shrink_2048_1536/B56ZdCWa.zHoAo-/0/1749164867478?e=1753315200&v=beta&t=L5_Uw4BZl8r-6isG1syH9-Bqxx7Zhzj3shTZMJJO5hI,,
4,7336861550541946880,urn:li:activity:7336861550541946880,"{'date': '2025-06-06 23:08:25', 'relative': '1 week ago • Visible to anyone on or off LinkedIn', 'timestamp': 1749244105945}","Such a 🔥 shoot with Mastercard & Dave.
Need video & product photography? We got you ⬇️ 

Huge huge huuuuge shoutout to our team.

What a flawless execution.

Jen Goldfaden, Franco Patino, & Joel DeVries.

You three are magic!

❤️",https://www.linkedin.com/posts/sean-goldfaden_such-a-shoot-with-mastercard-dave-need-activity-7336861550541946880-K1EQ?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFv3Dr4BN8nSB5ZtHec3sqR14h9Sg79shsQ,regular,Sean Goldfaden,"{'total_reactions': 7, 'like': 7, 'support': 0, 'love': 0, 'insight': 0, 'celebrate': 0, 'comments': 0, 'reposts': 0}",,dXJuOmxpOmFjdGl2aXR5OjY5OTc5NzQ4MTk2NjUyODUxMjAtMTY2ODQ0NzIxMzA3Mw==,"{'type': 'image', 'url': 'https://media.licdn.com/dms/image/v2/D5622AQEydDyE3iA2JQ/feedshare-shrink_2048_1536/B56ZdHEsnfGsAo-/0/1749244105276?e=1753315200&v=beta&t=gXCZDdxDEC7I2sVI3Srdd2h7MW6BOXHF5KjEphony2A', 'images': [{'url': 'https://media.licdn.com/dms/image/v2/D5622AQEydDyE3iA2JQ/feedshare-shrink_2048_1536/B56ZdHEsnfGsAo-/0/1749244105276?e=1753315200&v=beta&t=gXCZDdxDEC7I2sVI3Srdd2h7MW6BOXHF5KjEphony2A', 'width': 2048, 'height': 1365}]}",,,0,0,,,image,https://media.licdn.com/dms/image/v2/D5622AQEydDyE3iA2JQ/feedshare-shrink_2048_1536/B56ZdHEsnfGsAo-/0/1749244105276?e=1753315200&v=beta&t=gXCZDdxDEC7I2sVI3Srdd2h7MW6BOXHF5KjEphony2A,,
5,7336436667722977282,urn:li:ugcPost:7336432866420998145,"{'date': '2025-06-05 19:00:05', 'relative': '2 weeks ago • Visible to anyone on or off LinkedIn', 'timestamp': 1749142805987}","How we turn conference leads into calls (instantly)!
It all starts with a coin 🪙

Each custom CoEfficient Labs / SubSummit coin has a QR code that takes you to:

1️⃣ A central hub with all our #SubSummit content
2️⃣ A secret offer — $5,000 off a bundle of UGC videos 🎥

Whether you just want to see the interviews and recaps…

Or you’re a brand ready to level up your ad creative — the coin has you covered.

It’s rare. It’s fun. It’s actually valuable.

And we only made 100 of them — once they’re gone, they’re gone.

Let’s GO. #SubSummit2025

🎥 Watch the video for the full story 👇

#UGC #GrowthHacker #DTC #ContentMarketing #Subscription #DigitalMarketing #SocialMediaMarketing #Conference",https://www.linkedin.com/posts/sean-goldfaden_subsummit-subsummit2025-ugc-activity-7336436667722977282-uGT7?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFv3Dr4BN8nSB5ZtHec3sqR14h9Sg79shsQ,regular,Sean Goldfaden,"{'total_reactions': 6, 'like': 4, 'support': 0, 'love': 2, 'insight': 0, 'celebrate': 0, 'comments': 24, 'reposts': 2}",,dXJuOmxpOmFjdGl2aXR5OjY5OTc5NzQ4MTk2NjUyODUxMjAtMTY2ODQ0NzIxMzA3Mw==,"{'type': 'video', 'url': 'https://dms.licdn.com/playlist/vid/v2/D5605AQFkmTuhw1UrPw/mp4-720p-30fp-crf28/B56ZdA.0hiGsBM-/0/1749141930180?e=1750968000&v=beta&t=62kFyCkTKjD6kWLx9mF1oDKgsxVcGKlqprP49Wqw6kc'}",,,24,2,,,video,https://dms.licdn.com/playlist/vid/v2/D5605AQFkmTuhw1UrPw/mp4-720p-30fp-crf28/B56ZdA.0hiGsBM-/0/1749141930180?e=1750968000&v=beta&t=62kFyCkTKjD6kWLx9mF1oDKgsxVcGKlqprP49Wqw6kc,,
6,7336110656061919233,urn:li:ugcPost:7336107695881560068,"{'date': '2025-06-04 21:24:38', 'relative': '2 weeks ago • Visible to anyone on or off LinkedIn', 'timestamp': 1749065078750}","As we were getting kicked out…
We HAD to ask one more question:
What’s the point of going to events like these?

- This is how you meet people on a deeper level
- People do business with people
- Personal relationships are key to any business relationship
- It’s a great place to gain industry knowledge

Shoutout to our great interviewees:
- Nickeytha Ramsey @ Junobie, LLC
- Hemant Varshney @ DigiCom (Digital Commerce Corporation)
- Mike Constandatos, MBA @ DigiCom (Digital Commerce Corporation)
- Greg Johnston @ Fastr
- Allison Spalaris @ Vellabox

🎥 Watch the video for the full vibe 👇

#SubSummit2025 #SubSummit #DTC #UGC #Networking #SubscriptionEconomy #ContentMarketing #Subscriptions",https://www.linkedin.com/posts/sean-goldfaden_subsummit2025-subsummit-dtc-activity-7336110656061919233-Tcyd?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFv3Dr4BN8nSB5ZtHec3sqR14h9Sg79shsQ,regular,Sean Goldfaden,"{'total_reactions': 20, 'like': 15, 'support': 0, 'love': 2, 'insight': 0, 'celebrate': 2, 'comments': 0, 'reposts': 2}",,dXJuOmxpOmFjdGl2aXR5OjY5OTc5NzQ4MTk2NjUyODUxMjAtMTY2ODQ0NzIxMzA3Mw==,"{'type': 'video', 'url': 'https://dms.licdn.com/playlist/vid/v2/D5605AQFiGgRFSIxI-Q/mp4-720p-30fp-crf28/B56Zc8XFFHGsBQ-/0/1749065077201?e=1750968000&v=beta&t=lVLB1e0IMVt6MqmaIuB2fMT82OTFBFyVvgs-2dYQ8Dk'}",,,0,2,,,video,https://dms.licdn.com/playlist/vid/v2/D5605AQFiGgRFSIxI-Q/mp4-720p-30fp-crf28/B56Zc8XFFHGsBQ-/0/1749065077201?e=1750968000&v=beta&t=lVLB1e0IMVt6MqmaIuB2fMT82OTFBFyVvgs-2dYQ8Dk,,
7,7335368709198282754,urn:li:ugcPost:7335368599638867969,"{'date': '2025-06-02 20:16:24', 'relative': '2 weeks ago • Visible to anyone on or off LinkedIn', 'timestamp': 1748888184833}","Giant dancing robots, an open bar…
LIVE Music from Mike Posner!! 
What the heck just happened at SubSummit?!? 👇🏻

In between all the chaos, we asked founders & marketers:

“What was your biggest takeaway from SubSummit 2025?”

The answers? 🔥

Special shout out to our closing night interviewees:

Jeremy Foreshew @ Talkable
Sanika Lahane

SubSummit — THANK YOU.

This was the best conference we’ve been to all year.
For anyone in #ECommerce & #Subscriptions…
This is a MUST in 2026!

10/10 Recommend!

🎥 Watch the video for the full afterparty energy 👇

#SubSummit2025 #Conference #DTC #ContentMarketing #UGC #SubscriptionEconomy",https://www.linkedin.com/posts/sean-goldfaden_ecommerce-subscriptions-subsummit2025-activity-7335368709198282754--Afy?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFv3Dr4BN8nSB5ZtHec3sqR14h9Sg79shsQ,regular,Sean Goldfaden,"{'total_reactions': 15, 'like': 9, 'support': 0, 'love': 5, 'insight': 0, 'celebrate': 1, 'comments': 6, 'reposts': 0}",,dXJuOmxpOmFjdGl2aXR5OjY5OTc5NzQ4MTk2NjUyODUxMjAtMTY2ODQ0NzIxMzA3Mw==,"{'type': 'video', 'url': 'https://dms.licdn.com/playlist/vid/v2/D5605AQFmVUntQXhU_g/mp4-720p-30fp-crf28/B56Zcx24DGHgBQ-/0/1748888181296?e=1750968000&v=beta&t=kUw_ic21xjzOo4vlgVmp_icd_CGKGecKck3R7JN-g8M', 'thumbnail': 'https://media.licdn.com/dms/image/v2/D5605AQFmVUntQXhU_g/videocover-high/B56Zcx24DGHgBo-/0/1748888170990?e=1750968000&v=beta&t=bpuzUcnAH-GcOTWXlsFq5YYtqjNcSwTt_cP6fnzfvk8'}",,,6,0,,,video,https://dms.licdn.com/playlist/vid/v2/D5605AQFmVUntQXhU_g/mp4-720p-30fp-crf28/B56Zcx24DGHgBQ-/0/1748888181296?e=1750968000&v=beta&t=kUw_ic21xjzOo4vlgVmp_icd_CGKGecKck3R7JN-g8M,,
8,7334264137276866562,urn:li:ugcPost:7334263736330817536,"{'date': '2025-05-30 19:07:14', 'relative': '2 weeks ago • Visible to anyone on or off LinkedIn', 'timestamp': 1748624834365}","Attending conferences are a big investment…
Time, money, energy — it’s all costly.
Here’s what’s going down at #SubSummit2025 👇🏻

- The world’s best vendors for Subscription Brands
- The most cutting edge trends in AI
- Hearing great insights from speakers
- We’re all helping each other solve problems

Special shout out to our wonderful interviewees!
-Zohaib Rattu ☃️ @ Social Snowball ☃️
-Thomas Lalas @ The Art of eComm
-Brett Smith @ Google
-Cassandra Baas @ APC Postal Logistics

Stay tuned for more from the floor of SubSummit!

#SubSummit #Conference #Subscription #SubscriptionBrands #DTC #Marketing #Business",https://www.linkedin.com/posts/sean-goldfaden_subsummit2025-subsummit-conference-activity-7334264137276866562-cH_4?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFv3Dr4BN8nSB5ZtHec3sqR14h9Sg79shsQ,regular,Sean Goldfaden,"{'total_reactions': 23, 'like': 17, 'support': 0, 'love': 5, 'insight': 0, 'celebrate': 1, 'comments': 3, 'reposts': 4}",,dXJuOmxpOmFjdGl2aXR5OjY5OTc5NzQ4MTk2NjUyODUxMjAtMTY2ODQ0NzIxMzA3Mw==,"{'type': 'video', 'url': 'https://dms.licdn.com/playlist/vid/v2/D5605AQFNNy1GhimBdw/mp4-720p-30fp-crf28/B56ZciKAh1G0BM-/0/1748624826145?e=1750968000&v=beta&t=Xn9WzLopBBiEwIXmqpx9DswQp8a4XXVhb63dRip_6TU'}",,,3,4,,,video,https://dms.licdn.com/playlist/vid/v2/D5605AQFNNy1GhimBdw/mp4-720p-30fp-crf28/B56ZciKAh1G0BM-/0/1748624826145?e=1750968000&v=beta&t=Xn9WzLopBBiEwIXmqpx9DswQp8a4XXVhb63dRip_6TU,,
9,7333994650879348736,urn:li:ugcPost:7333994204345286657,"{'date': '2025-05-30 01:16:23', 'relative': '2 weeks ago • Visible to anyone on or off LinkedIn', 'timestamp': 1748560583801}","Day 2 @ SubSummit — in the books!
And you won’t believe how it ended👇

First we saw some great panelists:
-Trovon C. Williams, MBA @ NAACP
-Julie Hansen @ Babbel
-Christopher George @ SubSummit
-Megan Krouse @ Cinemark
-Joe Rohrlich @ Recurly

Then we saw the Above The Fold Podcast LIVE: 
-Amazing Host - Jess Cervellon @ Open Late Collective
-Rockstar Guest - Ren Fuller-Wasserman @ TUSHY - hellotushy.com

Followed by one of the best dinners EVER!

Nik Sharma — you’re the man! (thanks for having us)
Ian Myers 🌊 (Oceans) — appreciate you guys!
Michael Broukhim (FabFitFun) — great meeting you!

Wouldn’t be a FULL day without the After Hours Party!

Chewonthis DTC — you guys crushed it!

We’re having a blast at #SubSummit!

Special thanks to our Day 2 interviewees!:
-Nikeytha Ramsey @ Junobie, LLC
-Zohaib Rattu ☃️ @ Social Snowball ☃️
-Thomas Lalas @ The Art of eComm
-Reed Corry @ Brevo
-Daniel Miyares @ KODIF
-Dr. Brandon Smith @ Vensure Employer Solutions
-David Valentine @ Finch
-Rachel Haley @ Finch
-Cameron Gawley @ Gardencup

DAY 3! WE’RE COMING FOR YOU!

🚀

#SubSummit2025 #SubscriptionEconomy #DTCMarketing #SAAS",https://www.linkedin.com/posts/sean-goldfaden_subsummit-subsummit2025-subscriptioneconomy-activity-7333994650879348736-S91q?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFv3Dr4BN8nSB5ZtHec3sqR14h9Sg79shsQ,regular,Sean Goldfaden,"{'total_reactions': 22, 'like': 15, 'support': 0, 'love': 7, 'insight': 0, 'celebrate': 0, 'comments': 3, 'reposts': 2}",,dXJuOmxpOmFjdGl2aXR5OjY5OTc5NzQ4MTk2NjUyODUxMjAtMTY2ODQ0NzIxMzA3Mw==,"{'type': 'video', 'url': 'https://dms.licdn.com/playlist/vid/v2/D5605AQGq96yi3bZs-g/mp4-720p-30fp-crf28/B56ZceU3nKHUBQ-/0/1748560581626?e=1750968000&v=beta&t=Pqltlx_yQzGBSQq7Hse8UrcIwQUsGgBDKmRdZQBtTQg'}",,,3,2,,,video,https://dms.licdn.com/playlist/vid/v2/D5605AQGq96yi3bZs-g/mp4-720p-30fp-crf28/B56ZceU3nKHUBQ-/0/1748560581626?e=1750968000&v=beta&t=Pqltlx_yQzGBSQq7Hse8UrcIwQUsGgBDKmRdZQBtTQg,,
